Date,DataSource,Steps,Calories,Distance(meters),ActiveTime(seconds)
2015-11-26,Apple Health,954.0,0.0,845.0,0.0
2015-11-27,Apple Health,4875.0,0.0,3595.0,0.0
2015-11-28,Apple Health,2109.0,0.0,1401.0,0.0
2015-11-29,Apple Health,67.0,0.0,79.0,0.0
2015-11-30,Apple Health,3449.0,0.0,2560.0,0.0
2015-12-01,Apple Health,8235.0,0.0,5365.0,0.0
2015-12-02,Apple Health,3796.0,0.0,2975.0,0.0
2015-12-03,Apple Health,5802.0,0.0,4296.0,0.0
2015-12-04,Apple Health,6563.0,0.0,5009.0,0.0
2015-12-05,Apple Health,3826.0,0.0,3028.0,0.0
2015-12-06,Apple Health,2413.0,0.0,1954.0,0.0
2015-12-07,Apple Health,7946.0,0.0,5680.0,0.0
2015-12-08,Apple Health,4169.0,0.0,2998.0,0.0
2015-12-09,Apple Health,3415.0,0.0,2564.0,0.0
2015-12-10,Apple Health,4157.0,0.0,3130.0,0.0
2015-12-11,Apple Health,7083.0,0.0,5533.0,0.0
2015-12-12,Apple Health,5143.0,0.0,3969.0,0.0
2015-12-13,Apple Health,316.0,0.0,257.0,0.0
2015-12-14,Apple Health,7566.0,0.0,5278.0,0.0
2015-12-15,Apple Health,4562.0,0.0,3338.0,0.0
2015-12-16,Apple Health,4159.0,0.0,3124.0,0.0
2015-12-17,Apple Health,5083.0,0.0,3942.0,0.0
2015-12-18,Apple Health,5537.0,0.0,3940.0,0.0
2015-12-19,Apple Health,756.0,0.0,647.0,0.0
2015-12-20,Apple Health,1444.0,0.0,1155.0,0.0
2015-12-21,Apple Health,7065.0,0.0,5184.0,0.0
2015-12-22,Apple Health,6044.0,0.0,4089.0,0.0
2015-12-23,Apple Health,5684.0,0.0,4350.0,0.0
2015-12-24,Apple Health,5160.0,0.0,3623.0,0.0
2015-12-25,Apple Health,2663.0,0.0,2106.0,0.0
2015-12-26,Apple Health,763.0,0.0,615.0,0.0
2015-12-27,Apple Health,155.0,0.0,161.0,0.0
2015-12-28,Apple Health,5856.0,0.0,4229.0,0.0
2015-12-29,Apple Health,6742.0,0.0,4886.0,0.0
2015-12-30,Apple Health,5687.0,0.0,4165.0,0.0
2015-12-31,Apple Health,2806.0,0.0,1969.0,0.0
2016-01-01,Apple Health,4573.0,0.0,3353.0,0.0
2016-01-02,Apple Health,3797.0,0.0,3085.0,0.0
2016-01-03,Apple Health,590.0,0.0,482.0,0.0
2016-01-04,Apple Health,5829.0,0.0,4222.0,0.0
2016-01-05,Apple Health,7121.0,0.0,5111.0,0.0
2016-01-06,Apple Health,5914.0,0.0,3981.0,0.0
2016-01-07,Apple Health,6943.0,0.0,5169.0,0.0
2016-01-08,Apple Health,8905.0,0.0,6680.0,0.0
2016-01-09,Apple Health,4376.0,0.0,3374.0,0.0
2016-01-10,Apple Health,119.0,0.0,107.0,0.0
2016-01-11,Apple Health,4671.0,0.0,3421.0,0.0
2016-01-12,Apple Health,4061.0,0.0,3085.0,0.0
2016-01-13,Apple Health,5140.0,0.0,3726.0,0.0
2016-01-14,Apple Health,5771.0,0.0,4141.0,0.0
2016-01-15,Apple Health,3760.0,0.0,3038.0,0.0
2016-01-16,Apple Health,503.0,0.0,430.0,0.0
2016-01-17,Apple Health,166.0,0.0,155.0,0.0
2016-01-18,Apple Health,3497.0,0.0,2498.0,0.0
2016-01-19,Apple Health,5645.0,0.0,4177.0,0.0
2016-01-20,Apple Health,4380.0,0.0,3152.0,0.0
2016-01-21,Apple Health,9497.0,0.0,7119.0,0.0
2016-01-22,Apple Health,6153.0,0.0,4251.0,0.0
2016-01-23,Apple Health,6511.0,0.0,4779.0,0.0
2016-01-24,Apple Health,708.0,0.0,559.0,0.0
2016-01-25,Apple Health,4587.0,0.0,3371.0,0.0
